quality_score;species;country_of_origin;farm_name;altitude;region;harvest_year;aroma;flavor;aftertaste;acidity;body;balance;cupper_points;total_cup_points;moisture;color
84.42;Arabica;Costa Rica;Several Farmers;1300;Tarrazu;2016;7.58;7.83;7.83;8.0;7.67;7.58;7.92;Sample  84.42;10;Blue-Green
84.42;Arabica;Indonesia;Darmawi;1400;Sumatra Brastagi - Indonesia;2017;7.67;7.67;7.83;7.58;7.83;7.83;8.0;Sample  84.42;0;Blue-Green
84.42;Arabica;Colombia;;;Pitalito-Huila;2015/2016;7.92;7.83;7.75;7.67;7.92;7.67;7.67;Sample  84.42;0;Green
84.42;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2014;7.92;7.75;7.67;7.92;7.67;7.75;7.75;Sample  84.42;0;Green
84.42;Arabica;Taiwan;Tropica Galliard;1200M;Mountain Ali, Taiwan;2012;7.83;7.83;7.75;8.0;7.5;7.75;7.75;Sample  84.42;11;Blue-Green
84.42;Arabica;United States (Hawaii);;;KONA;2012;7.92;7.92;7.5;7.83;7.5;7.92;7.83;Sample  84.42;11;Blue-Green
84.42;Arabica;Mexico;FINCA LA CHIRIPA;900;TAPACHULA;2012;7.75;7.92;7.75;7.67;7.83;7.67;7.83;Sample  84.42;12;
84.42;Arabica;Ethiopia;Phone Number | 0911-513824 email: gmt.ft;;Limu;2009/2010;7.5;7.75;7.83;7.92;7.92;7.75;7.75;Sample  84.42;20;
84.33;Arabica;Kenya;Kigwandi;1800;Nyeri;2017 / 2018;7.33;7.58;7.83;7.75;7.75;7.92;8.17;Sample  84.33;11;Green
84.33;Arabica;Honduras;Las Cuchillas;1500;Comayagua;2016;7.92;8.0;7.75;7.67;7.67;7.75;7.58;Sample  84.33;10;Green
84.33;Arabica;Colombia;;;Huila;2016;7.58;7.75;7.5;7.83;7.67;8.5;7.5;Sample  84.33;0;Green
84.33;Arabica;Honduras;Los Hicaques;1500;Central Region;2016;7.58;7.92;7.58;7.75;7.92;7.75;7.83;Sample  84.33;11;Green
84.33;Arabica;Colombia;;;La Plata;2016;7.67;7.67;7.75;7.83;7.75;7.83;7.83;Sample  84.33;0;
84.33;Arabica;Colombia;;442 msnm;HUILA;2015;7.75;7.67;8.0;7.67;8.08;7.83;7.33;Sample  84.33;11;Green
84.33;Arabica;Colombia;;1800;huila;2013;7.75;7.58;7.33;7.83;7.58;8.08;8.17;Sample  84.33;0;Green
84.33;Arabica;Mexico;LA DISTANCIA;1700;TUXTLA GUTIERREZ;2012;8.0;7.75;7.75;7.83;7.5;7.67;7.83;Sample  84.33;12;Blue-Green
84.33;Arabica;Brazil;Santa Alina;1200m to 1350m;Vale da Grama;2011;8.17;8.0;7.5;7.75;7.5;7.67;7.75;Sample  84.33;0;
84.33;Arabica;Brazil;Fazenda Baipendi;900-1200m;South Minas Gerais;2011;8.0;8.0;7.5;7.5;7.67;7.75;7.92;Sample  84.33;2;
84.33;Arabica;Ethiopia;;3600-6200 ft;Limu (Southwest Ethiopia);;7.75;7.75;7.92;7.75;7.5;7.92;7.75;Sample  84.33;0;
84.33;Arabica;Guatemala;Las Minas;4400-4700 ft;Nuevo Oriente;December 2009-March 2010;7.5;7.67;7.75;7.67;7.92;7.92;7.92;Sample  84.33;4;
84.25;Arabica;Taiwan;馨晴咖啡 Good Mood Coffee;1000;國姓鄉 Guoshing Township;2016;7.92;7.75;7.75;7.67;7.67;7.83;7.67;Sample  84.25;12;Blue-Green
84.25;Arabica;Thailand;Matsuzawa Coffee Farm;1200;Chiang Rai THAILAND;2015;7.83;7.75;7.75;7.42;7.83;7.67;8.0;Sample  84.25;12;Green
84.25;Arabica;Colombia;;2560;NARIÑO;2016;7.83;7.58;7.75;7.58;7.67;8.0;7.83;Sample  84.25;11;Green
84.25;Arabica;Guatemala;FINCA MEDINA;1500;ANTIGUA;2016;7.75;7.75;7.58;7.92;7.75;7.75;7.75;Sample  84.25;11;Green
84.25;Arabica;Guatemala;FINCA SAN VICENTE;3607;HUEHUETENANGO;2015;7.75;7.92;7.5;8.08;7.58;7.67;7.75;Sample  84.25;10;Green
84.25;Arabica;China;Menglian County Nayun Town Mangzhang Coffee Farm;1400;Yunnan Province Pu'er City Menglian County Nayun Town;2015;7.83;7.83;7.58;7.75;7.75;7.75;7.75;Sample  84.25;10;Green
84.25;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2015;7.67;7.67;7.75;7.75;7.67;7.92;7.83;Sample  84.25;11;Green
84.25;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2015;7.83;7.67;7.75;7.58;7.92;7.75;7.75;Sample  84.25;12;Green
84.25;Arabica;Colombia;;1800;Cauca;2015/2016;7.83;7.75;7.83;7.58;7.67;7.75;7.83;Sample  84.25;12;Green
84.25;Arabica;Colombia;;442 msnm;HUILA;2015;7.42;7.67;7.83;7.75;7.92;7.83;7.83;Sample  84.25;12;Green
84.25;Arabica;Tanzania, United Republic Of;Jacksom Mwasenga;1620M;Shizingo Village;2014;7.83;7.67;7.75;7.83;7.67;7.67;7.83;Sample  84.25;12;Green
84.25;Arabica;Tanzania, United Republic Of;Suma JKT Itende;1600;Mbeya;2014;7.83;7.75;7.75;7.75;7.67;7.75;7.75;Sample  84.25;12;Green
84.25;Arabica;Guatemala;EL PAPATURRO;4000 PSNM;ORIENTE;2014;7.83;7.83;7.5;7.92;7.58;7.75;7.83;Sample  84.25;10;Green
84.25;Arabica;Colombia;;1700;cauca;2013;7.58;7.5;7.75;7.83;7.92;7.83;7.83;Sample  84.25;11;Green
84.25;Arabica;United States (Hawaii);;;KONA;2012;7.33;7.92;7.92;7.92;7.92;8.08;7.83;Sample  84.25;11;Bluish-Green
84.25;Arabica;Mexico;PANTE CARAJILLO;1450;SAN PEDRO COTZILNAM;2012;7.83;7.92;7.67;7.83;7.5;7.75;7.75;Sample  84.25;12;Green
84.25;Arabica;Mexico;FINCA LOS BARREALES;1170;TEOCELO, VERACRUZ;2012;7.83;7.83;7.75;7.67;7.83;7.58;7.75;Sample  84.25;12;Green
84.25;Arabica;Mexico;FINCA SANTA TERESA;1400;LA CONCORDIA, CHIAPAS;2012;7.83;7.92;7.67;7.75;7.5;7.75;7.83;Sample  84.25;10;Bluish-Green
84.25;Arabica;Uganda;;1700m;Kasese;2012;8.17;7.75;7.58;7.67;7.83;7.58;7.67;Sample  84.25;13;Green
84.17;Arabica;Guatemala;PIAMONTE;1700;SAN MARCOS;2017;7.75;7.83;7.58;7.83;7.67;7.75;7.75;Sample  84.17;13;Green
84.17;Arabica;Colombia;;;Huila;2016;7.83;7.75;7.58;7.67;7.75;7.83;7.75;Sample  84.17;0;Green
84.17;Arabica;Costa Rica;Los Girasoles;1700;Tarrazu;2016;7.92;7.75;7.67;7.67;7.5;7.67;8.0;Sample  84.17;9;Bluish-Green
84.17;Arabica;Guatemala;FINCA LA JOYA;3664;HUEHUETENANGO;2016;7.75;7.75;7.58;8.0;7.67;7.83;7.58;Sample  84.17;11;Green
84.17;Arabica;Guatemala;SANTO TOMAS PACHUJ;1565;SOLOLA;2016;7.75;7.92;7.58;7.92;7.67;7.67;7.67;Sample  84.17;10;Green
84.17;Arabica;Guatemala;CHAPULTEPEC;3280;NORTE;2016;7.58;7.83;7.58;7.83;7.83;7.67;7.83;Sample  84.17;10;Green
84.17;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2015;8.0;7.5;7.5;7.67;8.0;7.83;7.67;Sample  84.17;0;Bluish-Green
84.17;Arabica;Nicaragua;Las Nubes;de 900 a 1100 msnm;Jinotega, Nicaragua;2015;7.67;7.83;7.83;7.5;7.67;7.83;7.83;Sample  84.17;12;Bluish-Green
84.17;Arabica;Brazil;PANTANO;1150;CERRADO;2015;7.67;7.75;7.75;7.67;7.83;7.75;7.75;Sample  84.17;0;
84.17;Arabica;Costa Rica;Gamboa;1850;TARRAZU;2014;7.67;7.75;7.67;7.75;7.5;8.0;7.83;Sample  84.17;0;Blue-Green
84.17;Arabica;Ethiopia;Asefa Dukamo Coffee Plantation;1545-1668 MASL;"SNNPRG; KAFA; TELO WOREDA; SHADA KEBELE";2014;7.5;7.92;7.58;7.83;7.75;7.83;7.75;Sample  84.17;10;Green
84.17;Arabica;Tanzania, United Republic Of;Selian Coffee Estate;1400;Arusha;2014;7.92;7.75;7.75;7.75;7.75;7.58;7.67;Sample  84.17;13;Green
84.17;Arabica;Colombia;;1530;Huila;2014/2015;7.67;7.5;7.67;7.42;7.83;8.58;7.5;Sample  84.17;12;Green
84.17;Arabica;Guatemala;;;;2013;7.67;7.75;7.67;7.75;7.75;7.75;7.83;Sample  84.17;11;Bluish-Green
84.17;Arabica;Kenya;;approx. 1'500 metres a.s.l.;Kenya;2013;7.58;7.75;7.75;7.75;7.75;7.83;7.75;Sample  84.17;8;Green
84.17;Arabica;Brazil;Café do Paraíso;894m - 1183m;Minas Gerais, BR;2012;7.58;7.83;7.75;7.67;7.67;8.0;7.67;Sample  84.17;11;Green
84.17;Arabica;Guatemala;LA UNION MONTEVERDE;4300;ORIENTE;2013;7.92;7.75;7.67;7.67;7.83;7.92;7.42;Sample  84.17;11;Green
84.17;Arabica;El Salvador;El Majahual Tempisque;1500 meters;Apaneca Llamantepec;2013;8.42;8.08;7.5;7.17;7.58;8.17;7.92;Sample  84.17;11;Bluish-Green
84.17;Arabica;Colombia;;1750 msnm;huila;2012;7.75;7.75;7.75;7.75;7.83;7.75;7.58;Sample  84.17;0;Green
84.17;Arabica;Guatemala;EL LIMON;;GUATEMALA;2012;7.83;7.5;7.5;8.0;7.83;7.83;7.67;Sample  84.17;11;Bluish-Green
84.17;Arabica;Uganda;;1500-1700m;Mt. Rwenzori;2012;7.83;7.75;7.5;7.83;7.83;7.75;7.67;Sample  84.17;11;Green
84.13;Arabica;Indonesia;MUS, EMAN;;ACEH TENGAH;2017;7.81;7.88;7.56;7.75;7.63;7.75;7.75;Sample  84.13;12;Bluish-Green
84.08;Arabica;Colombia;;442;HUILA;2017 / 2018;7.83;7.5;7.42;7.5;7.83;8.5;7.5;Sample  84.08;0;Green
84.08;Arabica;Taiwan;CHANG YU LIANG 張玉良;968;Nanxi Dist., Tainan City 臺南市楠西區;2016;7.58;7.67;7.67;7.67;7.75;7.83;7.92;Sample  84.08;10;Bluish-Green
84.08;Arabica;Guatemala;LA ESPERANZA Y ANEXOS;;ORIENTE;2016;8.0;7.75;7.5;7.58;7.92;7.67;7.67;Sample  84.08;10;Green
84.08;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2014;7.92;7.75;7.67;7.75;7.67;7.67;7.67;Sample  84.08;0;
84.08;Arabica;Guatemala;Aprocafi;1550;Aldea Xeucalvitz, Ixil Region, Quiche Department;2014;7.58;7.75;7.67;8.0;7.75;7.67;7.67;Sample  84.08;10;Bluish-Green
84.08;Arabica;United States (Hawaii);;;KONA;2012;7.83;7.75;7.83;7.83;7.42;8.08;8.0;Sample  84.08;11;Green
84.08;Arabica;Mexico;LA LAGUNILLA;1480;SANTO DOMINGO CACALOTEPEC;2012;7.67;7.75;7.67;7.75;7.67;7.75;7.83;Sample  84.08;11;Green
84.08;Arabica;Ethiopia;;1800m;Ethiopia, Sidamo;2012;7.92;7.92;7.83;8.0;7.92;7.92;7.92;Sample  84.08;9;
84.0;Arabica;Costa Rica;;;;2017;7.58;7.75;7.67;7.75;7.83;7.75;7.67;Sample  84.00;8;None
84.0;Arabica;Ethiopia;Kerchanshe;1800;SIDAMO;2017;7.83;7.75;7.67;7.75;7.33;7.75;7.92;Sample  84.00;11;Green
84.0;Arabica;Honduras;Las Cuchillas;1500;Comayagua;2017;7.42;7.83;7.75;7.92;7.75;7.58;7.75;Sample  84.00;10;Green
84.0;Arabica;Guatemala;FINCA LOS CERROS Y ANEXOS;5440 - 5760 METROS;HUEHUETENANGO;2015;7.67;7.83;7.58;7.92;7.75;7.67;7.58;Sample  84.00;12;Green
84.0;Arabica;Colombia;;1600;Huila;2014/2015;7.67;7.67;7.83;7.58;7.58;7.83;7.83;Sample  84.00;11;Green
84.0;Arabica;Guatemala;EL PAPATURRO;4000 PSNM;ORIENTE;2014;7.92;7.67;7.42;7.92;7.75;7.83;7.5;Sample  84.00;10;Green
84.0;Arabica;Guatemala;EL PAPATURRO;4000 PSNM;ORIENTE;2014;7.75;7.83;7.5;7.83;7.58;7.67;7.83;Sample  84.00;10;Green
84.0;Arabica;Colombia;;1480;Huila;2014;7.67;7.75;7.67;7.67;7.67;7.75;7.83;Sample  84.00;12;Green
84.0;Arabica;Colombia;;1450;santander;2014;7.58;7.42;7.75;7.92;7.75;7.92;7.67;Sample  84.00;12;Green
84.0;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2014;7.67;7.67;7.5;7.5;7.67;7.67;8.33;Sample  84.00;12;Green
84.0;Arabica;Ethiopia;;1550 m;Sidamo;2013;7.75;7.75;7.5;7.58;7.67;7.92;7.83;Sample  84.00;9;Green
84.0;Arabica;Brazil;Fazenda Rio Verde;1260;South Minas;2013/2014;7.58;7.83;7.67;7.25;8.0;7.75;7.92;Sample  84.00;10;Green
84.0;Arabica;Colombia;;1700 msnm;Cauca;2013;7.67;7.83;7.67;7.75;7.67;7.75;7.67;Sample  84.00;11;Green
84.0;Arabica;Kenya;;Above 1200 M;Blend;2012;7.67;7.83;7.5;7.75;7.92;7.67;7.67;Sample  84.00;0;Green
84.0;Arabica;Thailand;Doi Tung Development Project;-;Thailand;2012;7.92;8.17;8.17;8.42;8.08;8.17;8.42;Sample  84.00;12;Green
84.0;Arabica;Kenya;-;1650;Central Kenya;2012;7.67;7.75;7.67;7.75;7.83;7.67;7.67;Sample  84.00;0;Bluish-Green
84.0;Arabica;Uganda;;1700m;Kasese;2012;7.92;7.75;7.58;7.67;7.67;7.83;7.58;Sample  84.00;10;Green
84.0;Arabica;Thailand;Doi Tung Development Project;;;2011;7.58;7.75;7.58;7.75;7.58;7.75;8.0;Sample  84.00;6;
83.92;Arabica;Brazil;Fazenda Capoeirinha;890;South of Minas Gerais;2017 / 2018;7.5;7.75;7.58;7.5;7.58;7.5;8.5;Sample  83.92;0;Green
83.92;Arabica;Mexico;CAFETAL;1300;VERACRUZ;2017;7.83;7.83;7.58;7.92;7.42;7.5;7.83;Sample  83.92;11;Green
83.92;Arabica;Thailand;Saveg Coffee Farm;1350;Chiangrai;2015;7.67;7.75;7.5;7.67;7.67;7.83;7.83;Sample  83.92;10;Bluish-Green
83.92;Arabica;Brazil;Capoeirinha Farm;934;South of Minas Gerais;2016;7.58;7.67;7.67;7.75;7.58;7.83;7.83;Sample  83.92;11;Green
83.92;Arabica;Taiwan;Tsoustructive Garden 鄒築園;1200;Leye, Alishan Township, Chiayi County 嘉義阿里山樂野村;2015;7.83;7.75;7.83;7.75;7.83;7.75;7.83;Sample  83.92;11;Green
83.92;Arabica;Colombia;;442;HUILA;2016;7.75;7.67;7.5;7.75;7.83;7.75;7.67;Sample  83.92;11;Green
83.92;Arabica;Colombia;;;La Plata;2016;7.75;7.58;7.5;7.83;7.75;7.92;7.58;Sample  83.92;0;
83.92;Arabica;Taiwan;Very Famous Intl.名門義理國際股份有限公司;none;台灣;2014;7.75;7.75;7.58;7.75;7.75;7.67;7.67;Sample  83.92;0;Blue-Green
83.92;Arabica;Colombia;;;Huila;2015;7.92;7.67;7.5;7.83;7.58;7.67;7.75;Sample  83.92;0;
83.92;Arabica;Colombia;;;Huila;2014;7.83;7.75;7.58;7.58;7.75;7.75;7.67;Sample  83.92;0;None
83.92;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2014;7.75;7.58;7.67;7.83;7.83;7.67;7.58;Sample  83.92;0;Green
83.92;Arabica;Taiwan;神谷山莊園;950公尺;台中和平區;2014;8.0;7.92;7.92;7.92;7.67;7.33;7.17;Sample  83.92;6;Green
83.92;Arabica;Colombia;;1550;Santander;2014;7.67;7.83;7.67;7.75;7.67;7.83;7.5;Sample  83.92;12;Green
83.92;Arabica;Mexico;FINCA CUETZALINGO;900;XICOTEPEC DE JUAREZ;2012;7.67;7.75;7.58;7.67;7.75;7.83;7.67;Sample  83.92;12;Blue-Green
83.92;Arabica;Mexico;FINCA SANT ROSA;1500;LA CONCORDIA;2012;7.5;7.67;7.58;7.83;7.75;7.75;7.83;Sample  83.92;11;
83.92;Arabica;Mexico;COMUNIDAD LA YERBABUENA;1400;LA YERBABUENA;2012;7.75;7.92;7.83;7.92;7.75;7.67;7.75;Sample  83.92;0;Green
83.83;Arabica;Colombia;;2527;Nariño;2017;7.92;7.58;7.5;7.83;7.58;7.67;7.75;Sample  83.83;0;Green
83.83;Arabica;Colombia;;;Huila;2016;7.83;7.67;7.5;7.75;7.75;7.75;7.58;Sample  83.83;0;Green
83.83;Arabica;Costa Rica;Gamboa;1850;Tarrazu;2015;7.67;7.67;7.75;7.67;7.5;7.75;7.83;Sample  83.83;0;Blue-Green
83.83;Arabica;Guatemala;FINCA MEDINA;1500;ANTIGUA;2016;7.75;7.75;7.5;7.75;7.83;7.58;7.67;Sample  83.83;11;Green
83.83;Arabica;Taiwan;優遊吧斯股份有限公司Yuyupas International Corp.;1200;台灣;2016;7.75;7.67;7.5;7.75;7.75;7.67;7.75;Sample  83.83;0;
83.83;Arabica;Brazil;Rio Verde;1;South of Minas Gerais;2015/2016;7.25;7.58;7.42;8.0;7.75;7.83;8.0;Sample  83.83;0;Green
83.83;Arabica;Taiwan;鄉舍咖啡 Hometown Coffee;480-570M;Dongshan Dist., Tainan City 臺南市東山區;2014;7.67;7.75;7.67;7.75;7.42;7.75;7.83;Sample  83.83;0;Green
83.83;Arabica;Ethiopia;;1650-1703;Oromia;2014;7.75;7.75;7.67;7.67;7.58;7.67;7.75;Sample  83.83;12;Green
83.83;Arabica;Brazil;Rio Verde;1200;South Minas Gerais;2014/2015;7.67;7.67;7.58;7.5;7.83;8.17;8.08;Sample  83.83;0;Green
83.83;Arabica;Costa Rica;VARIOS;1200-1400;CENTRAL VALLEY - WEST VALLEY;2013;7.83;7.42;7.5;7.83;7.75;7.83;7.67;Sample  83.83;10;Green
83.83;Arabica;Guatemala;EL PAPATURRO;4000 PSNM;ORIENTE;2014;7.58;7.83;7.33;8.0;7.58;7.75;7.75;Sample  83.83;10;Green
83.83;Arabica;Brazil;Fazenda Rio Verde;1260;South Minas;2013/2014;7.92;7.5;7.33;7.67;8.17;7.5;7.75;Sample  83.83;10;Green
83.83;Arabica;Ecuador;Finca El Trueno;800 meters above sea level;Province of Manabi, Ecuador;2013;7.5;7.67;7.58;7.75;7.83;7.83;7.67;Sample  83.83;9;Bluish-Green
83.83;Arabica;Colombia;;1750 msnm;huila;2013;7.67;7.58;7.58;7.83;7.58;7.67;7.92;Sample  83.83;11;Green
83.83;Arabica;Guatemala;FINCA EL MORITO;4300;ORIENTE;2013;7.5;7.83;7.5;7.83;7.83;7.67;7.67;Sample  83.83;11;Green
83.83;Arabica;Mexico;PREDIO CAÑADA DEL ENCINO;1218;PETATLAN;2012;7.67;8.0;7.67;7.42;7.67;7.5;7.92;Sample  83.83;10;Green
83.83;Arabica;Mexico;FINCA SANTA TERESA;1300;LA CONCORDIA, CHIAPAS;2012;7.67;7.58;7.5;7.75;7.75;7.75;7.83;Sample  83.83;11;
83.83;Arabica;Brazil;Fazenda do Sertão;1.250 m;Carmo de Minas;2011/2012;7.83;7.83;7.58;7.67;7.5;7.58;7.83;Sample  83.83;12;Green
83.83;Arabica;Thailand;Doi Chaang Coffee Original Co.,Ltd;4921ft;Doi Chaang Villiang, Chiang Rai, Thialand;2011;7.75;7.75;7.58;8.0;7.67;7.58;7.5;Sample  83.83;2;
83.83;Arabica;Thailand;Doi Tung Development Project;;;2011;7.5;7.83;7.58;7.58;7.75;7.83;7.75;Sample  83.83;1;
83.83;Arabica;Ethiopia;Phone number | 0911-51-08-01, Email | at;;Sidamo;2010;7.58;7.83;7.58;8.0;7.83;7.5;7.5;Sample  83.83;10;
83.75;Arabica;Kenya;;1800;NYERI COUNTY;;7.75;7.58;7.5;7.58;7.75;7.75;7.83;Sample  83.75;11;Green
83.75;Arabica;Brazil;Fazenda Capoeirinha;890;South of Minas Gerais;2017 / 2018;7.67;7.67;7.58;7.75;7.67;7.67;7.75;Sample  83.75;11;Green
83.75;Arabica;Colombia;;442;HUILA;2017;7.83;7.83;7.58;7.58;7.58;7.58;7.75;Sample  83.75;11;Green
83.75;Arabica;Taiwan;崁頭山咖啡館 (Kan Tou Mountain Coffee);750;台南市東山區 (Dongshan Dist., Tainan City);2016;7.67;7.67;7.58;7.58;7.67;7.83;7.75;Sample  83.75;0;Green
83.75;Arabica;Colombia;;;Huila;2016;7.92;7.75;7.5;7.67;7.75;7.5;7.67;Sample  83.75;0;Green
83.75;Arabica;China;Pu’er Specialty Coffee Cupping Center;1650;Yunnan Province Pu'er City Menglian County;2015;7.83;7.75;7.67;7.5;7.58;7.67;7.75;Sample  83.75;10;Green
83.75;Arabica;Colombia;;442 msnm;HUILA;2015/2016;7.75;7.67;7.5;7.67;7.58;7.83;7.75;Sample  83.75;0;Green
83.75;Arabica;Uganda;Erussi Farmers group;1400;West Nile;2013;8.0;7.92;7.58;7.75;7.33;7.5;7.67;Sample  83.75;12;Green
83.75;Arabica;United States (Puerto Rico);Hacienda Caracolillo;2800 ft;Yauco Region;2013;7.83;7.83;7.83;7.67;8.0;8.17;7.75;Sample  83.75;12;Green
83.75;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2014;7.67;7.67;7.67;7.92;7.5;7.67;7.67;Sample  83.75;0;Green
83.75;Arabica;Colombia;;1500-1600;Huila;2014;7.67;7.42;7.42;7.42;8.0;8.33;7.5;Sample  83.75;0;Green
83.75;Arabica;Colombia;;1750 msnm;Huila;2013;7.58;7.67;7.75;7.67;7.67;7.67;7.75;Sample  83.75;0;Blue-Green
83.75;Arabica;Colombia;;1750;huila;2013;7.75;7.67;7.75;7.58;7.42;8.0;7.58;Sample  83.75;11;Green
83.75;Arabica;United States (Hawaii);;;KONA;2013;7.25;7.42;7.67;7.58;7.83;8.25;7.75;Sample  83.75;0;Bluish-Green
83.75;Arabica;Mexico;NARANJAL;700;HUAZALINGO, HIDALGO;2012;7.83;7.58;7.58;7.5;7.75;7.67;7.83;Sample  83.75;13;None
83.75;Arabica;Guatemala;Several farms;1300 mts;Quetzaltenango;2012;7.67;7.58;7.58;7.67;7.75;7.75;7.75;Sample  83.75;11;Bluish-Green
83.75;Arabica;Colombia;;1600 m.s.n.m;Cauca;January 2011;7.83;7.83;7.58;7.33;7.42;7.67;8.08;Sample  83.75;10;
83.75;Arabica;Colombia;;1600 msnm;cundinamarca;4T/10;7.75;7.67;7.25;7.25;7.58;8.5;7.75;Sample  83.75;6;
83.75;Arabica;United States (Hawaii);;;Kona;;7.83;7.67;7.75;7.67;7.58;7.5;7.75;Sample  83.75;0;
83.67;Arabica;Brazil;Fazenda Capoeirinha;890;South of Minas Gerais;2017 / 2018;7.67;7.83;7.5;7.67;7.67;7.5;7.83;Sample  83.67;11;Green
83.67;Arabica;Kenya;;1700;MERU COUNTY;2017;8.08;7.67;7.67;7.58;7.25;7.67;7.75;Sample  83.67;11;Bluish-Green
83.67;Arabica;Honduras;Los Hicaques;1400;Comayagua;2016;7.5;7.5;7.67;7.67;8.0;8.0;7.33;Sample  83.67;10;Green
83.67;Arabica;Nicaragua;SANTA MATILDE;1250;JINOTEGA, NICARAGUA;2016;7.67;7.75;7.67;7.67;7.83;7.58;7.5;Sample  83.67;10;Green
83.67;Arabica;Brazil;Capoeirinha Farm;934;South of Minas Gerais;2016;7.58;7.75;7.58;7.75;7.58;7.58;7.83;Sample  83.67;11;Green
83.67;Arabica;Taiwan;Tsoustructive Garden 鄒築園;1200;Leye, Alishan Township, Chiayi County;2015;7.5;7.67;7.33;7.92;7.83;7.67;7.75;Sample  83.67;10;Bluish-Green
83.67;Arabica;Costa Rica;;1350;WEST VALLEY;;7.33;7.67;7.67;7.5;7.67;7.5;8.33;Sample  83.67;11;Blue-Green
83.67;Arabica;Thailand;;800++;THAILAND;2014;7.5;7.75;7.58;7.83;7.67;7.58;7.75;Sample  83.67;12;Bluish-Green
83.67;Arabica;Colombia;;1550-1700m;Huila;2014/2015;7.5;7.75;7.5;7.75;7.67;7.67;7.83;Sample  83.67;11;
83.67;Arabica;Guatemala;FINCA LAS CUEVITAS;4451 METROS;HUEHUETENANGO;2014;8.0;7.5;7.33;8.0;8.0;8.0;7.5;Sample  83.67;10;Green
83.67;Arabica;Colombia;VARIAS;1750 MSNM;HUILA SUPREMO;2013;7.83;7.75;7.67;7.58;7.58;7.67;7.58;Sample  83.67;0;Green
83.67;Arabica;Colombia;;1800 - 2000;Huila;2013;7.67;7.67;7.67;7.67;7.33;7.75;7.92;Sample  83.67;0;Green
83.67;Arabica;Guatemala;LA UNION MONTEVERDE;4300;ORIENTE;2013;7.67;7.67;7.42;7.67;8.0;7.75;7.5;Sample  83.67;12;Green
83.67;Arabica;Guatemala;EL SACRAMENTO;4300;ORIENTE;2013;7.83;7.67;7.33;7.67;7.67;7.83;7.67;Sample  83.67;11;Green
83.67;Arabica;Colombia;;1750 msnm;huila;2012;7.75;7.75;7.58;7.83;7.17;7.75;7.83;Sample  83.67;11;Green
83.67;Arabica;Guatemala;Finca Quequesquez;1450;Oriente;2012;8.17;8.17;7.83;7.67;8.08;7.75;8.0;Sample  83.67;11;Green
83.67;Arabica;Guatemala;AGROPECUARIA QUIAGRAL;4300;ORIENTE;2012;7.67;8.17;7.5;7.42;7.58;7.83;7.5;Sample  83.67;11;Green
83.67;Arabica;Mexico;FINCA APOXTLA;1100;XICOTEPEC DE JUAREZ;2012;7.67;7.5;7.5;7.33;7.83;8.25;7.58;Sample  83.67;12;Green
83.67;Arabica;Indonesia;Ijen Highland, East Java;1200-1600masl;East Java;2012;8.17;7.67;7.58;7.58;7.42;7.67;7.58;Sample  83.67;12;Green
83.67;Arabica;Guatemala;FINCA MEDINA;5000;SACATEPEQUEZ, GUATEMALA;2012;7.67;7.5;7.33;8.0;7.67;7.67;7.83;Sample  83.67;10;Green
83.67;Arabica;United States (Hawaii);;;;;7.75;8.0;7.92;8.08;7.75;8.0;8.17;Sample  83.67;0;
83.58;Arabica;Brazil;Fazenda Capoeirinha;890;South of Minas Gerais;2017 / 2018;7.58;7.67;7.58;7.58;7.67;7.58;7.92;Sample  83.58;11;Green
83.58;Arabica;Guatemala;FINCA SANTA CLARA;3702;HUEHUETENANGO;2016;7.75;7.75;7.5;7.83;7.58;7.58;7.58;Sample  83.58;11;Green
83.58;Arabica;Colombia;;;Huila;2016;7.75;7.75;7.58;7.58;7.67;7.58;7.67;Sample  83.58;11;Green
83.58;Arabica;China;Menglian Mang Pan Professional Cooperative;1100;Yunnan Province Pu'er City Menglian County;2015;7.67;7.58;7.58;7.58;7.67;7.75;7.75;Sample  83.58;10;Green
83.58;Arabica;Colombia;;De 1600 a 1950 msnm;Huila;2015;7.67;7.75;7.58;7.67;7.75;7.58;7.58;Sample  83.58;12;Green
83.58;Arabica;Mexico;Exportadora Café California;1200;CHIAPAS, JALTENANGO;2014;7.75;7.75;7.58;7.58;7.5;7.67;7.75;Sample  83.58;12;Green
83.58;Arabica;Ethiopia;Lomi Tasha;1700-2000m;Yirgacheffe;2014;7.75;7.67;7.58;7.67;7.5;7.67;7.75;Sample  83.58;0;
83.58;Arabica;Uganda;Bulamburi coffee farmers;1800;Eastern;2013;7.67;7.67;7.42;7.75;7.75;7.67;7.67;Sample  83.58;12;Green
83.58;Arabica;Colombia;;1600;CUNDINAMARCA;2014;7.67;7.58;7.67;7.67;7.67;7.67;7.67;Sample  83.58;0;Green
